file,title,letters,words,gold,ngram_language,ngram_distance_ru,ngram_distance_de,ngram_ms,alphabet_language,alphabet_distance_ru,alphabet_distance_de,alphabet_ms,neural_language,neural_distance_ru,neural_distance_de,neural_ms,consensus,agreement,correct
de-01-holzbau.html,Holzbau und Fachwerk,2459,443,de,de,0.996667,0.313022,8.624,de,0.991938,0.044974,0.521,de,0.999980,0.000020,4.828,de,1.00,да
de-02-kaffee.html,Kaffee: von der Bohne zur Tasse,2368,408,de,de,0.996667,0.330100,6.737,de,0.992020,0.044335,0.296,de,0.999979,0.000021,3.818,de,1.00,да
de-03-leuchtturm.html,Leuchttürme und Seenavigation,2772,487,de,de,0.996667,0.283044,6.874,de,0.991938,0.039790,0.322,de,0.999981,0.000019,5.285,de,1.00,да
de-04-imkerei.html,Das Bienenvolk und die Imkerei,2728,512,de,de,0.996667,0.369156,7.889,de,0.991938,0.049187,0.315,de,0.999981,0.000019,4.606,de,1.00,да
de-05-kartografie.html,Alte Karten und die Kunst der Projektion,2853,490,de,de,0.996667,0.259778,7.701,de,0.991938,0.035123,0.323,de,0.999981,0.000019,4.050,de,1.00,да
de-06-uhrmacherei.html,Mechanische Uhren: wie Zeit gemessen wird,2625,453,de,de,0.996667,0.322878,6.320,de,0.991802,0.053529,0.310,de,0.999981,0.000019,4.248,de,1.00,да
de-07-brot.html,Brot und Backhandwerk,2674,494,de,de,0.996667,0.328778,6.986,de,0.991938,0.054313,0.318,de,0.999979,0.000021,3.966,de,1.00,да
de-08-berge.html,"Berge: Höhe, Wetter und Mensch",2573,470,de,de,0.996667,0.325533,7.021,de,0.991938,0.051203,0.308,de,0.999981,0.000019,6.302,de,1.00,да
de-09-post.html,"Post, Leitzahlen und die Logistik der Sendungen",2891,493,de,de,0.996667,0.283044,9.486,de,0.992074,0.038580,0.370,de,0.999981,0.000019,5.057,de,1.00,да
de-10-filmschnitt.html,Schnitt: wie aus Einstellungen ein Film wird,2879,504,de,de,0.996667,0.300989,8.228,de,0.991802,0.050351,0.348,de,0.999980,0.000020,4.462,de,1.00,да
ru-01-zodchestvo.html,Деревянное зодчество Русского Севера,2422,424,ru,ru,0.377789,0.996667,7.007,ru,0.067629,1.000000,0.407,ru,0.000019,0.999981,5.413,ru,1.00,да
ru-02-chai.html,Чай: от листа до чашки,2389,394,ru,ru,0.386456,0.996667,7.708,ru,0.057997,1.000000,0.625,ru,0.000017,0.999983,6.377,ru,1.00,да
ru-03-mayak.html,Маяки и морская навигация,2411,419,ru,ru,0.342067,0.996667,7.210,ru,0.058258,1.000000,0.395,ru,0.000018,0.999982,4.092,ru,1.00,да
ru-04-pchely.html,Пчелиная семья и пасека,2432,416,ru,ru,0.381933,0.996667,7.473,ru,0.068893,1.000000,0.403,ru,0.000018,0.999982,4.273,ru,1.00,да
ru-05-karty.html,Старые карты и искусство проекции,2428,407,ru,ru,0.340222,0.996667,11.834,ru,0.044824,1.000000,0.428,ru,0.000018,0.999982,4.550,ru,1.00,да
ru-06-chasy.html,Механические часы: как измеряют время,2265,374,ru,ru,0.420856,0.996667,8.683,ru,0.057810,1.000000,0.399,ru,0.000018,0.999982,4.636,ru,1.00,да
ru-07-hleb.html,Хлеб и хлебопечение,2324,405,ru,ru,0.378056,0.996667,10.955,ru,0.073742,1.000000,0.446,ru,0.000018,0.999982,4.342,ru,1.00,да
ru-08-gory.html,"Горы: высота, погода и человек",2155,378,ru,ru,0.370956,0.996667,10.376,ru,0.059057,1.000000,0.388,ru,0.000018,0.999982,4.398,ru,1.00,да
ru-09-pochta.html,"Почта, индексы и логистика отправлений",2537,408,ru,ru,0.344367,0.996244,10.681,ru,0.049886,0.989358,0.448,ru,0.000020,0.999980,5.486,ru,1.00,да
ru-10-kino.html,Монтаж: как из кадров получается фильм,2494,423,ru,ru,0.346211,0.996000,7.844,ru,0.056739,0.981469,0.423,ru,0.000019,0.999981,5.058,ru,1.00,да

method,accuracy,correct,total,mean_ms,docs_per_second
ngram,1.0000,20,20,8.282,120.7
alphabet,1.0000,20,20,0.390,2566.2
neural,1.0000,20,20,4.762,210.0
consensus,1.0000,20,20,13.434,74.4
